GeneName	tSNE_1	tSNE_2	x	SELL_Opacity	SELL_Expr	SELL_Color
NTR64-0407	-19.0224824267167	26.5901996736874	0	0.5806039460500796	1956.16777431617	#ff7777
TTC123-0407	-12.5703565998376	-17.8243000310354	2	0.1	0.0	#ffffff
TTC101-0322	8.20056185456947	-32.1320297260573	11	0.19988904306050717	406.571208264452	#ffe3e3
TTC68-0407	-27.5205214261038	-12.2049397533469	0	0.10045212608296628	1.8402563705423	#ffffff
TTC50-0407	-28.6131427455231	-12.213870457837	0	0.10053139262414358	2.16288928836768	#ffffff
PTR75-1116	-1.43952548206256	37.7570059641935	1	0.5257542028318711	1732.91679813339	#ff8787
TTC25-0407	-37.1247290223327	0.0152438024794047	0	0.1	0.0	#ffffff
PTR56-0322	-6.18316442278458	40.7190224916114	1	1.0	7438.47139017937	#ff0000
NTH132-0407	-38.9958776387029	-5.77708392393918	2	0.10088014982207141	3.58241069940526	#ffffff
TTC71-0322	-25.0327256695008	-6.32103540732985	0	0.1	0.0	#ffffff
TTC17-0205	2.85980504413259	-17.2014867416477	7	0.1	0.0	#ffffff
PTC19-0322	-10.8909913223808	-2.64920647791801	5	0.1	0.0	#ffffff
PTC157-1116	-41.8212428065041	-29.0125910126964	2	0.1	0.0	#ffffff
PTH1-0322	-5.74761841011525	43.8748037950157	1	1.0	4665.96247485987	#ff0000
PTC100-1116	-41.2913641357453	-20.6322759565962	2	0.10051896075698491	2.11228875104327	#ffffff
NTC188-0322	-46.0948985762079	6.75477363819891	5	0.1	0.0	#ffffff
PTH117-0322	-1.37495786942221	36.7194717046937	1	0.5779268083472979	1945.27121271981	#ff7878
JTH-92-0508	19.7676741191862	2.25417610159359	4	0.1	0.0	#ffffff
TTH10-0407	-20.5742165098923	4.77789958511858	0	0.10019159336922212	0.779828750315556	#ffffff
NTC77-0407	-40.9951928219569	-29.9073764015082	2	0.10018954001089478	0.771471113175726	#ffffff
NTH125-0407	-43.9144718585139	6.95558170766281	0	0.10072450969114406	2.94891983647608	#ffffff
PTC2-45-0508	-23.2642898940033	-30.2211420786075	2	0.1	0.0	#ffffff
PTC134-0322	-19.7232108468661	30.6753205656328	0	0.1	0.0	#ffffff
PTC87-0407	-16.6776016556974	-26.0274821410921	2	0.10088750203150593	3.61233587019092	#ffffff
TTS83-0205	37.2770472926589	-3.58276685980393	4	0.6013132637655202	2040.45942501102	#ff7171
TTS58-0205	34.928786136696	-11.0764903424778	4	0.34664762203696176	1003.9121272428	#ffbaba
NTC20-0407	-31.6253986627208	-9.45392107204265	0	0.10058911553469631	2.39783471149832	#ffffff
PTH64-0205	17.647692086718	22.7011130864379	3	0.1	0.0	#ffffff
PTC2-70-0508	-12.6304241303351	-15.6471413364281	2	0.1	0.0	#ffffff
PTH72-0407	-4.33596398073747	40.6893048315827	1	0.8930717393677222	3227.98302432239	#ff1f1f
TTC6-0322	-40.1923643309593	13.0960587727719	5	0.1	0.0	#ffffff
TTH1-57-0508	-1.32238656287047	3.29146921381138	6	0.1	0.0	#ffffff
TTH174-0508	13.9628240371652	8.6402941275974	3	0.32750751481957896	926.007521499719	#ffbfbf
PTS142-0205	20.3073346553307	17.9300971735542	3	0.1783522243829646	318.911439749132	#ffe9e9
PTH142-0322	3.22002993562008	33.0038044287651	1	0.6796847481872836	2359.44925751481	#ff5b5b
TTH18-1116	10.923545084942	-18.6424520403441	0	0.1	0.0	#ffffff
NTC17-0508	3.08860087831682	-12.5017707128431	5	0.1	0.0	#ffffff
NTH2-83-0508	26.9045211448833	-6.35415929947921	4	0.1	0.0	#ffffff
PTH97-0407	-6.07761574036992	44.2189974427311	1	0.8017813521485366	2856.41030826232	#ff3939
TTC41-1202	50.6929310813401	7.49501261454367	10	0.1	0.0	#ffffff
TTR65-0322	22.623678562814	-22.7748209976027	8	0.589641879552895	1992.95422688262	#ff7575
NTH63-1116	-12.2510290809091	10.4921330000941	0	0.17289005389373888	296.679158935252	#ffebeb
TTR189-0407	7.05262622115667	11.9976314604654	6	0.1	0.0	#ffffff
JTH-56-0508	2.67100046236971	0.477478603986442	6	0.1	0.0	#ffffff
TTC75-0407	-19.4423980255348	-10.406919010297	0	0.10075403633596466	3.06910002133819	#ffffff
TTS116-0205	33.9144031978426	-11.5843361004786	4	0.1	0.0	#ffffff
TTR147-1116	20.0447231233146	-33.9876774381122	8	0.4242785137544388	1319.88757837514	#ffa4a4
