GeneName	tSNE_1	tSNE_2	x	GZMK_Opacity	GZMK_Expr	GZMK_Color
PTR91-1116	-3.7692842250101	21.7556298406781	1	0.10044162370751945	3.20124773139507	#ffffff
PTC23-1202	40.4490551417216	14.7886892056493	10	0.1	0.0	#ffffff
NTR92-1116	-39.9292557240069	-5.20963127816771	2	0.1	0.0	#ffffff
PTR3-0322	0.116041113909589	19.1934525468751	1	0.1	0.0	#ffffff
JTC-4-0508	-0.615810291115222	-23.1835329415566	7	0.3329775675337655	1688.81085148847	#ffbdbd
NTH101-0322	-34.5926602850447	-8.33774756514635	0	1.0	7941.69954374718	#ff0000
NTH79-1116	-32.8805079802178	21.6049029450033	5	0.213707283052105	824.242846830457	#ffdfdf
TTR103-1116	29.1550704294016	-37.9156560361917	9	0.1	0.0	#ffffff
TTH26-0407	-34.4811369306457	21.6975957417899	0	0.20905316034894061	790.505981052065	#ffe1e1
TTC120-0205	2.38759006133047	-30.7629575590464	7	0.1	0.0	#ffffff
TTH52-1116	12.2944358235459	-17.5231410487455	0	0.1013086152375616	9.48590732151453	#ffffff
TTR79-1116	20.4706582509538	-20.5192389873738	8	0.1	0.0	#ffffff
PTH35-0407	6.31694333817714	7.24282310581884	5	1.0	9540.37260106606	#ff0000
TTH1-84-0508	-15.985262185987	-26.0865128704338	2	0.1	0.0	#ffffff
NTR23-0407	-22.2904686796806	19.7018451345321	0	0.7578383976066576	4768.54761668373	#ff4545
PTR65-0407	-6.7322519382515	35.5701553505399	0	0.10060509831439933	4.38624460883713	#ffffff
TTC16-0407	-30.8588484447652	-31.0949615137559	2	0.1	0.0	#ffffff
TTH150-0407	-14.6208606881214	22.9672238337217	0	0.3535759780136907	1838.12487991685	#ffb8b8
NTC2-40-0508	5.64814481228301	-8.79405826255961	5	0.3466748651944154	1788.10000267261	#ffbaba
PTH3-1-0508	25.4378288610838	18.3166737933868	3	0.37518746598658204	1994.7825177821	#ffb2b2
PTR12-0407	-1.90531067838433	22.5878477858663	1	0.10067336104560903	4.88106839139926	#ffffff
PTS28-1202	44.2543399663836	9.70848795775122	10	0.1	0.0	#ffffff
NTR1-0407	-12.1738057798164	22.6550236673798	0	1.0	6990.48504193188	#ff0000
TTR238-0407	-2.00523057906872	35.5960106298782	1	0.9149821343313023	5907.65319939424	#ff1919
PTC81-0205	-17.0305604036693	-22.9662074983111	2	0.18688962037177032	629.846621367494	#ffe7e7
TTH1-94-0508	24.8067196355668	-6.07937779108961	4	1.0	7639.04759165184	#ff0000
TTC117-0205	-7.72377082161555	-16.4687113321727	2	0.1	0.0	#ffffff
JTC-75-0508	-27.2374969794095	-34.9072203498957	2	0.1	0.0	#ffffff
TTH122-0508	20.5864257775396	3.02584338750107	4	0.1	0.0	#ffffff
TTH79-0205	11.3260467202229	1.10071980303059	6	0.1	0.0	#ffffff
JTS-30-0508	34.8379720160748	-0.193115551512638	4	0.1	0.0	#ffffff
TTC34-0322	-22.7826012351094	-9.98839167171211	0	0.1	0.0	#ffffff
TTR173-0407	-15.555236529177	7.04494999337458	0	0.529956165691017	3116.67190094655	#ff8686
TTR72-1116	19.3555419481566	-24.5383841984927	8	0.1383427097563261	277.939138078483	#fff5f5
TTC14-1202	51.3672204660091	8.81025216733544	10	0.10039428111087247	2.85807009501818	#ffffff
TTH54-0322	-15.0815197068361	12.6657869932418	5	0.1	0.0	#ffffff
NTC159-1116	-25.0722648649334	-13.6435097009444	0	0.8954650796654193	5766.17771719332	#ff1e1e
TTR145-0508	38.0848560062235	-3.76670124939179	4	0.1	0.0	#ffffff
PTH91-0205	24.8412976084533	17.8299192934846	3	0.1	0.0	#ffffff
NTC111-0322	-42.6417956826315	12.080811074698	5	0.1	0.0	#ffffff
NTH72-1116	-19.890782744399	16.7377697522421	0	0.3276064425277425	1649.87656999994	#ffbfbf
TTR156-1116	20.5194390544342	-22.4362580519883	8	0.1	0.0	#ffffff
PTS3-12-0508	9.42654002869321	27.5117690485757	4	0.1	0.0	#ffffff
PTC25-0407	-24.0832892334212	-27.4790128960496	2	0.1	0.0	#ffffff
PTS33-0205	17.9386858475885	27.2246388488667	3	0.1	0.0	#ffffff
PTR83-0322	17.0039254107191	-13.1490255096848	1	0.1	0.0	#ffffff
TTC2-74-0508	-1.36948489560077	-41.6705623205215	7	0.10037587761104413	2.72466656374931	#ffffff
TTC84-0508	-1.06608320663863	-38.0203735262001	7	0.21675415888268698	846.329080369139	#ffdede
