GeneName	tSNE_1	tSNE_2	x	CCR7_Opacity	CCR7_Expr	CCR7_Color
TTC171-0407	-15.3645866704825	-30.6405440762998	2	0.1	0.0	#ffffff
NTH173-0407	-5.59607888696867	1.0252010850412	6	0.10102630414770748	3.24168420165031	#ffffff
NTC29-0407	-37.6832870237295	14.9136734716436	5	0.1	0.0	#ffffff
PTH28-0508	14.8414079742091	23.5475265437193	4	0.1	0.0	#ffffff
TTC192-0322	-23.7520482261083	-14.4267103599498	0	0.10059218216613909	1.8704665442113	#ffffff
TTC106-0205	0.422447524755285	-41.6209005712522	7	0.1	0.0	#ffffff
TTC23-0322	11.9532467320954	-33.0586341961117	11	0.1	0.0	#ffffff
TTR10-0322	25.7113407681741	-23.1618448899722	8	0.1	0.0	#ffffff
TTR134-0508	27.8811149951995	0.874849083103716	4	0.1	0.0	#ffffff
TTS1-3-0508	37.6739744057379	-16.3658425972617	4	0.1	0.0	#ffffff
JTC-86-0508	-3.80001933371685	-23.3534989134055	5	0.1	0.0	#ffffff
TTH121-0205	14.5594307243775	4.852833222408	6	0.1	0.0	#ffffff
PTS3-26-0508	19.882981893812	24.2001087074982	3	0.6238230576902248	1654.54746954657	#ff6b6b
PTH16-0205	28.8810820067155	23.6563871365356	3	0.35535929622945905	806.577853339748	#ffb7b7
TTS118-0205	19.1407671504054	-9.71580482437751	4	0.1	0.0	#ffffff
NTH105-0322	-10.5080412801661	20.8950334470503	0	0.1	0.0	#ffffff
JTS-41-0508	28.4746601391143	-6.44521726664877	4	0.10098363588918446	3.1069122435763	#ffffff
PTH24-0407	-8.2411485026965	43.1500215366573	1	1.0	4306.03420563482	#ff0000
PTR97-0322	0.288215388675469	27.1547322820506	1	0.1	0.0	#ffffff
PTH129-0205	26.53912034341	28.4497067155259	3	0.16730388819237832	212.586056044136	#ffecec
NTC122-0322	-37.60916857736	9.52980897407986	5	0.1	0.0	#ffffff
TTC95-0508	-5.468840459766	-36.300148746562	7	0.1	0.0	#ffffff
NTC147-0322	-26.3269686157094	-6.78830475257458	0	0.1	0.0	#ffffff
PTH140-0322	-5.33749260154053	32.227156441011	0	0.1	0.0	#ffffff
TTS41-1202	49.8185568011609	10.4927187180486	10	0.2771919250018515	559.678400619916	#ffcdcd
JTH-3-0508	26.4380644481442	-39.8563537045667	9	0.1	0.0	#ffffff
TTR119-0322	20.5542127459941	-15.6970991749787	8	0.1	0.0	#ffffff
NTC1-0407	-8.83862522647214	5.55590268595516	5	0.1	0.0	#ffffff
PTC175-0322	18.7142075218893	33.4249540897185	1	1.0	3937.54775419083	#ff0000
NTH33-1116	-31.2948363290052	12.9059745915901	0	0.1	0.0	#ffffff
JTH-26-0508	-9.49558251336931	-7.63153325479689	6	0.19483491371123365	299.545551120777	#ffe5e5
TTC98-0322	-16.3275380503543	2.30123966160285	5	0.1	0.0	#ffffff
PTS3-94-0508	25.3893214228112	21.7618768119557	3	0.1	0.0	#ffffff
PTC7-0407	-41.9801516065818	-19.9323337371174	2	0.10139677371819487	4.41184935836703	#ffffff
NTH130-0322	-14.4641736450787	4.68254526269415	5	0.1	0.0	#ffffff
TTC103-0322	7.70475443703991	-31.4138518038673	11	0.1	0.0	#ffffff
TTC128-0407	-10.8531054512597	-16.7668730621194	2	0.1	0.0	#ffffff
TTS1-37-0508	37.9238394144896	-6.70744071312997	4	0.1	0.0	#ffffff
NTC112-0407	-7.22584821319775	-5.68958459183864	5	0.1	0.0	#ffffff
PTH57-1116	3.81073852004396	46.8564978934117	1	1.0	7625.97202721771	#ff0000
PTC8-1116	-40.2086753742525	-16.4690950348904	2	0.1	0.0	#ffffff
NTH2-88-0508	1.46970449327865	-3.98336100413857	6	0.1	0.0	#ffffff
NTC40-0508	1.59031791926664	-9.46295204964233	5	0.1	0.0	#ffffff
NTH2-1116	-16.4815605557288	13.3852907114259	0	0.10260431444117378	8.22598739266621	#ffffff
PTH75-1116	21.9091376188205	33.5208186155535	1	1.0	3020.91854399993	#ff0000
TTR209-0407	-12.3978195522723	22.277858741026	0	0.1	0.0	#ffffff
PTC173-1116	-38.6094654921796	-16.6523592015324	2	0.1	0.0	#ffffff
TTR117-1116	9.93233157274003	-21.4881963383359	0	0.10030143326115681	0.952107075399322	#ffffff
TTH1-0407	1.91103941194689	38.3805645920775	1	0.3203996075567476	696.154183399321	#ffc1c1
PTC104-0407	-30.942113811598	-2.13516555334203	0	0.10110822847708571	3.50045038209439	#ffffff
PTS29-0205	15.4172361186156	20.9897261067683	3	0.45315123883121167	1115.46347568564	#ff9b9b
TTR184-0508	26.8612814393698	-0.869452726765187	4	0.1	0.0	#ffffff
PTC114-0205	20.9389920073379	13.2647341613334	3	0.29346369780981346	611.074420953888	#ffc9c9
TTC27-0407	36.6385377283081	-36.609119543358	9	0.10027551493565304	0.870241454465691	#ffffff
PTS3-76-0508	19.8193137256695	11.1656521360016	3	0.1	0.0	#ffffff
TTS35-0205	38.3111143471797	-16.8137743461501	4	0.1	0.0	#ffffff
PTC2-93-0508	33.0864790515282	18.1155537452642	3	0.8332425325361342	2316.01980661383	#ff3030
NTC163-1116	-42.0298984703536	-27.1132127724226	2	0.10071772881815697	2.26701818957444	#ffffff
NTR17-1116	-4.92515100569957	26.0029884711884	0	0.1	0.0	#ffffff
PTC36-0508	-16.9436329162902	-23.0842579213927	2	0.1	0.0	#ffffff
TTH111-0407	-23.0815363500458	2.14213756810818	0	0.1	0.0	#ffffff
PTH21-0508	16.3026983085362	25.408761056533	3	0.2623720246974555	512.868264663527	#ffd1d1
TTC2-10-0508	0.563728487250803	-44.1449794558594	7	0.1	0.0	#ffffff
PTS3-51-0508	28.9432505475496	23.5180795244559	3	0.6434286967019267	1716.47383941408	#ff6666
TTH12-0407	-36.2243850536186	3.38095144265668	0	0.10120719441408922	3.81304418306696	#ffffff
PTC139-0205	21.1776092157731	12.2843713957989	3	0.46294936843153245	1146.41184708415	#ff9999
TTC8-0407	-41.0885731806595	-29.7258651293246	2	0.1	0.0	#ffffff
TTH136-0407	-41.4439861361524	-11.0926551097501	2	0.10027299394613598	0.862278657171916	#ffffff
NTC183-0322	-8.69904195167035	3.71105734831948	5	0.1	0.0	#ffffff
TTH13-1116	-19.5476916061429	19.3415249435936	0	0.1	0.0	#ffffff
TTR116-0407	-19.3289784283485	26.2087610293376	0	0.1	0.0	#ffffff
TTH118-0407	-41.9293235089865	-11.6169149079585	2	0.1003701737585082	1.16923080502206	#ffffff
PTH74-0407	-20.9178566504697	24.3121763232723	0	0.10069816151765106	2.20521291570836	#ffffff
PTH34-0205	33.4103914562819	28.6766183748227	3	0.49526944949323626	1248.4980526284	#ff9090
PTC82-0407	-34.7671685923849	-23.3677954307134	2	0.1	0.0	#ffffff
NTC47-0407	-31.082100080133	-11.6886112332344	0	0.1	0.0	#ffffff
TTH9-1116	-17.2454620631554	13.6674532534514	0	0.10091657766235208	2.89510213348488	#ffffff
NTR35-1116	-17.9563197456498	18.0930996036948	0	0.10040076055155939	1.26584224719025	#ffffff
