""	"HSC.Prog_Normal.derived.combined_PMID_30827681"	"GMP_Normal.derived.combined_PMID_30827681"	"Myeloid_Normal.derived.combined_PMID_30827681"	"HSC.Prog.like_Tumor.derived.combined_PMID_30827681"	"GMP.like_Tumor.derived.combined_PMID_30827681"	"Myeloid.like_Tumor.derived.combined_PMID_30827681"	"HSC.like_Tumor.derived.per.cell.type_PMID_30827681"
"S580"	0.346757812064436	0.3577540832685	0.443302117104657	0.289699036251903	0.339905811175821	0.45416530943324	0.217155155627001
"S581"	0.350861721130963	0.411480833972781	0.456558570861198	0.298777056142647	0.38116287449931	0.474992261585318	0.205073862478688
"S582"	0.338187845322177	0.397817613342497	0.502912408523283	0.270451468259517	0.389767699879108	0.504167488166202	0.204034283135005
"S583"	0.374402238609499	0.367398122632375	0.34680053546754	0.33580916807302	0.34030019995871	0.377184205751438	0.246705774032074
"S584"	0.376903104927197	0.435634982988373	0.483675765287806	0.354413281192734	0.415561369233509	0.491598959691411	0.257420605474253
"S585"	0.368681075223682	0.400857748871618	0.413194933189979	0.327323594061921	0.375624402722661	0.433402336654459	0.227621219426114
"S586"	0.365026600987449	0.424650453385309	0.401620716088694	0.337149604166956	0.394405195113996	0.419683524686977	0.224202816651881
"S587"	0.350248460947114	0.447873575875583	0.436407380904392	0.277219187304742	0.420393078690369	0.458225537451963	0.199804071895931
"S588"	0.341249456723432	0.403726051003966	0.457316762714414	0.272684785242821	0.384437533967708	0.465170107797504	0.204604047469817
"S589"	0.378086747963348	0.433060404626535	0.464879950168339	0.350122781777267	0.407141154361801	0.482353781488751	0.23214252478083
"S590"	0.388907401747533	0.39928976276274	0.391330911634769	0.36611062463251	0.360887423719903	0.407324677995731	0.243598819340868
"S591"	0.364609157	0.376053082000001	0.383423702	0.338065333	0.357047637	0.402139625	0.218718172
"S592"	0.342548657457323	0.424125700186841	0.42417278968825	0.266897763679845	0.394869114673753	0.450527661189194	0.173847024063067
"S593"	0.373452753455231	0.426402118751059	0.473456967036365	0.332808520041004	0.399325680526085	0.492258942470357	0.21700472483838
"S594"	0.364677668195398	0.41255447724128	0.414016154965855	0.327391825394551	0.425774765675132	0.436731330018558	0.21916647610569
"S595"	0.347376925927197	0.401588863988373	0.449870050287806	0.295755375192734	0.431771012233509	0.452893590691411	0.231707460474253
"S596"	0.373227630328453	0.376379148649843	0.417809290478937	0.327848559176038	0.36391657932211	0.434123799322713	0.218553796809065
"S597"	0.359182362920922	0.419952535681027	0.418829506332153	0.317602129276212	0.407823873790507	0.4474252815349	0.211326240800193
